"job.id","problem","algorithm","X1_irrelevantContVar_linear","X2_relevantContVar_linear","X3_irrelevantContVar_linear","X4_relevantContVar_linear","X5_irrelevantContVar_nonlinear","X6_relevantContVar_nonlinear","X7_irrelevantContVar_nonlinear","X8_relevantContVar_nonlinear","X9_irrelevantCatVar","X10_relevantCatVar","X11_irrelevantCatVar","X12_relevantCatVar","auc","n","p","num_cat","error_level","cov_base","outcome","learner","space"
"    1","dgp","boruta","0","1","1","1","0","0","0","1","0","1","0","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"    2","dgp","boruta","0","0","1","1","0","1","0","1","0","0","1","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"    3","dgp","boruta","0","1","1","1","0","1","0","1","0","1","0","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"    4","dgp","boruta","0","1","0","1","0","0","0","1","0","0","1","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"    5","dgp","boruta","0","1","1","1","0","0","1","1","0","0","1","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"    6","dgp","boruta","0","0","1","1","0","1","0","1","0","0","1","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"    7","dgp","boruta","0","1","1","1","0","0","0","1","0","1","1","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"    8","dgp","boruta","0","1","1","1","0","0","0","1","0","1","0","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"    9","dgp","boruta","1","0","1","1","0","0","0","1","0","0","0","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"   10","dgp","boruta","1","1","1","1","0","0","0","1","0","0","1","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"   11","dgp","boruta","0","1","0","1","0","0","1","1","0","0","0","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"   12","dgp","boruta","0","0","1","1","0","0","1","1","0","1","0","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"   13","dgp","boruta","0","1","0","1","0","1","0","1","0","0","0","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"   14","dgp","boruta","0","1","1","1","0","0","0","1","0","1","0","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"   15","dgp","boruta","0","1","0","1","1","1","0","1","0","0","0","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"   16","dgp","boruta","1","1","1","1","0","0","0","1","0","1","0","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"   17","dgp","boruta","0","0","1","1","0","0","1","1","0","0","0","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"   18","dgp","boruta","0","1","1","1","0","1","0","1","0","0","0","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"   19","dgp","boruta","0","1","1","1","0","1","0","1","0","0","1","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"   20","dgp","boruta","0","0","0","1","1","1","1","1","0","1","0","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"   21","dgp","boruta","0","1","0","1","0","0","1","1","0","0","1","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"   22","dgp","boruta","0","0","1","1","0","1","0","1","0","1","0","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"   23","dgp","boruta","0","1","0","1","0","0","0","1","0","1","1","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"   24","dgp","boruta","1","0","1","1","0","0","0","1","0","0","1","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"   25","dgp","boruta","0","1","1","1","0","0","0","1","0","0","0","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
"   26","dgp","boruta","0","0","1","1","0","0","0","1","0","1","0","1",NA," 300","12","2","2","0.5","regr","boruta","Hi"
