"","Variable","CPI","SE","test","statistic","estimate","p.value","ci.lo","feature","importance","holm","importance.05","importance.95","condition","i","ttest","permutation.error","method"
"1","carat","376271.81294365","129416.299865229","t","2.90745302821585","376271.81294365","0.00184894336977559","163268.243177413","carat","376271.81294365","0.0129426035884291","NA","NA",NA,"NULL","NULL","NA","CPI"
"2","clarity","458373.45949599","58951.0890157137","t","7.77548756349197","458373.45949599","6.97261281557237e-15","361347.100258161","clarity","458373.45949599","6.27535153401513e-14","NA","NA",NA,"NULL","NULL","NA","CPI"
"3","color","439711.013148239","65897.6573015938","t","6.67263497905265","439711.013148239","1.76742420273239e-11","331251.443070213","color","439711.013148239","1.41393936218591e-10","NA","NA",NA,"NULL","NULL","NA","CPI"
"4","cut","3759.43506478805","3426.98406607563","t","1.09700978828685","3759.43506478805","0.136407364283349","-1880.9660312585","cut","3759.43506478805","0.545629457133394","NA","NA",NA,"NULL","NULL","NA","CPI"
"5","depth_perc","13364.3609237421","7110.2925371479","t","1.87957961700164","13364.3609237421","0.0301803959040587","1661.67977714832","depth_perc","13364.3609237421","0.150901979520293","NA","NA",NA,"NULL","NULL","NA","CPI"
"6","table","-735.384280850651","5609.82035749803","t","-0.131088739743287","-735.384280850651","0.552138579499931","-9968.46978197179","table","-735.384280850651","1","NA","NA",NA,"NULL","NULL","NA","CPI"
"7","x_length","-4647.36912823239","5000.8627934277","t","-0.929313464536583","-4647.36912823239","0.823561255508274","-12878.1841648277","x_length","-4647.36912823239","1","NA","NA",NA,"NULL","NULL","NA","CPI"
"8","y_width","-2147.73410877764","5020.03421394519","t","-0.427832563931823","-2147.73410877764","0.665582510716842","-10410.1029837378","y_width","-2147.73410877764","1","NA","NA",NA,"NULL","NULL","NA","CPI"
"9","z_depth","16609.8863062117","7323.31836803796","t","2.26808196386822","16609.8863062117","0.0117335552276426","4556.59041882213","z_depth","16609.8863062117","0.0704013313658558","NA","NA",NA,"NULL","NULL","NA","CPI"
"10",NA,"NA","NA",NA,"NA","NA","NA","NA","carat","299904.368419506","NA","262902.206475585","301768.889195148","x_length,z_depth,y_width,clarity","NULL","NULL","NA","CS"
"11",NA,"NA","NA",NA,"NA","NA","NA","NA","cut","5700.86249832645","NA","4412.99072430738","6713.85567873973","table,depth_perc,clarity","NULL","NULL","NA","CS"
"12",NA,"NA","NA",NA,"NA","NA","NA","NA","color","345105.873949535","NA","327534.742830733","388040.551936037","carat,clarity,depth_perc,table","NULL","NULL","NA","CS"
