"","Variable","CPI","SE","test","statistic","estimate","p.value","ci.lo","feature","importance","holm","importance.05","importance.95","condition","i","ttest","permutation.error","method"
"1","carat","926477.503179864","150204.934712626","t","6.16808964999993","926477.503179864","4.4454524991306e-10","679258.355950249","carat","926477.503179864","4.00090724921754e-09","NA","NA",NA,"NULL","NULL","NA","CPI"
"2","clarity","664762.877450914","123686.609212961","t","5.37457435110326","664762.877450914","4.45034566902688e-08","461189.685186275","clarity","664762.877450914","3.5602765352215e-07","NA","NA",NA,"NULL","NULL","NA","CPI"
"3","color","448560.598132335","94556.483872283","t","4.74383754305209","448560.598132335","1.14920968100708e-06","292932.067334328","color","448560.598132335","8.04446776704953e-06","NA","NA",NA,"NULL","NULL","NA","CPI"
"4","cut","48343.5593574322","57922.8382299231","t","0.834620001967684","48343.5593574322","0.202032879738561","-46990.4235088232","cut","48343.5593574322","0.808131518954245","NA","NA",NA,"NULL","NULL","NA","CPI"
"5","depth_perc","-4311.1739601393","7511.04888320457","t","-0.573977619794154","-4311.1739601393","0.716965124121505","-16673.451559463","depth_perc","-4311.1739601393","1","NA","NA",NA,"NULL","NULL","NA","CPI"
"6","table","-90518.0828475746","45015.3062926775","t","-2.01082898912317","-90518.0828475746","0.977738129921862","-164607.830000337","table","-90518.0828475746","1","NA","NA",NA,"NULL","NULL","NA","CPI"
"7","x_length","4348.23652964442","23296.836535073","t","0.186644934521398","4348.23652964442","0.42598224645601","-33995.5374107224","x_length","4348.23652964442","1","NA","NA",NA,"NULL","NULL","NA","CPI"
"8","y_width","33694.8354327451","21716.2095868331","t","1.55159837162259","33694.8354327451","0.060485572926931","-2047.41781204911","y_width","33694.8354327451","0.362913437561586","NA","NA",NA,"NULL","NULL","NA","CPI"
"9","z_depth","14357.1360988017","12163.8601266888","t","1.18031085110068","14357.1360988017","0.119032688238275","-5663.10580133039","z_depth","14357.1360988017","0.595163441191376","NA","NA",NA,"NULL","NULL","NA","CPI"
"10",NA,"NA","NA",NA,"NA","NA","NA","NA","carat","625334.049429845","NA","414868.678663818","647039.917041269","x_length,z_depth,y_width","NULL","NULL","NA","CS"
"11",NA,"NA","NA",NA,"NA","NA","NA","NA","cut","1262.71249774436","NA","-19828.2180962748","15175.0291727793","table,depth_perc","NULL","NULL","NA","CS"
"12",NA,"NA","NA",NA,"NA","NA","NA","NA","color","628482.212622575","NA","563201.542680813","683895.582038504","carat,clarity,x_length,cut,z_depth,table","NULL","NULL","NA","CS"
"13",NA,"NA","NA",NA,"NA","NA","NA","NA","clarity","780311.334930751","NA","722513.829785773","885133.30161239","z_depth,color,depth_perc,cut,carat,x_length","NULL","NULL","NA","CS"
"14",NA,"NA","NA",NA,"NA","NA","NA","NA","depth_perc","21302.846322809","NA","15964.256405639","49097.4715685287","cut,table,clarity,color,carat","NULL","NULL","NA","CS"
"15",NA,"NA","NA",NA,"NA","NA","NA","NA","table","32569.6546063347","NA","1389.97968720808","43386.4470828896","cut,depth_perc,carat,z_depth,clarity","NULL","NULL","NA","CS"
"16",NA,"NA","NA",NA,"NA","NA","NA","NA","x_length","691004.314592189","NA","512295.585362269","730116.58040596","y_width,carat,depth_perc","NULL","NULL","NA","CS"
"17",NA,"NA","NA",NA,"NA","NA","NA","NA","y_width","182844.081161069","NA","151066.573044897","228607.015553716","x_length,z_depth","NULL","NULL","NA","CS"
"18",NA,"NA","NA",NA,"NA","NA","NA","NA","z_depth","184917.932080376","NA","101858.886490952","246114.094924184","carat,depth_perc,x_length,y_width","NULL","NULL","NA","CS"
"19",NA,"NA","NA",NA,"NA","NA","NA","NA","carat","8704580.68338152","1.178715055604e-30","NA","NA",NA,"1","1.30968339511555e-31","NA","LOCO"
"20",NA,"NA","NA",NA,"NA","NA","NA","NA","cut","277373.570664172","0.0439551470205888","NA","NA",NA,"2","0.0146517156735296","NA","LOCO"
"21",NA,"NA","NA",NA,"NA","NA","NA","NA","color","195411.815313257","0.0439551470205888","NA","NA",NA,"3","0.0152196858817004","NA","LOCO"
"22",NA,"NA","NA",NA,"NA","NA","NA","NA","clarity","378266.841408399","0.000159475189793364","NA","NA",NA,"4","3.27972171463383e-05","NA","LOCO"
"23",NA,"NA","NA",NA,"NA","NA","NA","NA","depth_perc","484263.798590284","3.33289250215001e-06","NA","NA",NA,"5","4.76127500307145e-07","NA","LOCO"
"24",NA,"NA","NA",NA,"NA","NA","NA","NA","table","368549.447337747","0.0439551470205888","NA","NA",NA,"6","0.0212033281720299","NA","LOCO"
"25",NA,"NA","NA",NA,"NA","NA","NA","NA","x_length","827237.234025509","0.000159475189793364","NA","NA",NA,"8","3.18950379586728e-05","NA","LOCO"
"26",NA,"NA","NA",NA,"NA","NA","NA","NA","y_width","1017879.90528127","2.76977254530826e-08","NA","NA",NA,"9","3.46221568163532e-09","NA","LOCO"
"27",NA,"NA","NA",NA,"NA","NA","NA","NA","z_depth","623604.620732734","7.47541619007657e-06","NA","NA",NA,"10","1.24590269834609e-06","NA","LOCO"
"28",NA,"NA","NA",NA,"NA","NA","NA","NA","y_width","17254618.8101466","NA","16857164.7836895","17319706.4514886",NA,"NULL","NULL","17860998.3520185","PFI"
"29",NA,"NA","NA",NA,"NA","NA","NA","NA","x_length","9020673.80176953","NA","8632391.62428464","9045454.29816286",NA,"NULL","NULL","9627053.3436414","PFI"
"30",NA,"NA","NA",NA,"NA","NA","NA","NA","carat","8207457.2884191","NA","8202792.49156003","8325643.32257151",NA,"NULL","NULL","8813836.83029097","PFI"
"31",NA,"NA","NA",NA,"NA","NA","NA","NA","z_depth","3225642.31482011","NA","3032158.29961495","3387938.71316686",NA,"NULL","NULL","3832021.85669198","PFI"
"32",NA,"NA","NA",NA,"NA","NA","NA","NA","clarity","923692.83601883","NA","886633.588486806","1027592.68144179",NA,"NULL","NULL","1530072.3778907","PFI"
"33",NA,"NA","NA",NA,"NA","NA","NA","NA","color","709900.769808081","NA","563207.948899702","817941.996032278",NA,"NULL","NULL","1316280.31167995","PFI"
"34",NA,"NA","NA",NA,"NA","NA","NA","NA","cut","59899.1583989044","NA","9658.19142105146","69265.9338675541",NA,"NULL","NULL","666278.700270775","PFI"
"35",NA,"NA","NA",NA,"NA","NA","NA","NA","table","28130.1254333381","NA","12996.5454799437","48613.3786856262",NA,"NULL","NULL","634509.667305208","PFI"
"36",NA,"NA","NA",NA,"NA","NA","NA","NA","depth_perc","23345.7155600976","NA","274.755342538282","39762.1080356376",NA,"NULL","NULL","629725.257431968","PFI"
"37",NA,"NA","NA",NA,"NA","NA","NA","NA","carat","3706827.71545846","NA","NA","NA",NA,"NULL","NULL","NA","SAGE"
"38",NA,"NA","NA",NA,"NA","NA","NA","NA","cut","77.0735734854985","NA","NA","NA",NA,"NULL","NULL","NA","SAGE"
"39",NA,"NA","NA",NA,"NA","NA","NA","NA","color","-25889.3578722205","NA","NA","NA",NA,"NULL","NULL","NA","SAGE"
"40",NA,"NA","NA",NA,"NA","NA","NA","NA","clarity","-38191.1531058723","NA","NA","NA",NA,"NULL","NULL","NA","SAGE"
"41",NA,"NA","NA",NA,"NA","NA","NA","NA","depth_perc","9226.22699908685","NA","NA","NA",NA,"NULL","NULL","NA","SAGE"
"42",NA,"NA","NA",NA,"NA","NA","NA","NA","table","-14415.2228995188","NA","NA","NA",NA,"NULL","NULL","NA","SAGE"
"43",NA,"NA","NA",NA,"NA","NA","NA","NA","x_length","-1964458.80522855","NA","NA","NA",NA,"NULL","NULL","NA","SAGE"
"44",NA,"NA","NA",NA,"NA","NA","NA","NA","y_width","4582354.83307013","NA","NA","NA",NA,"NULL","NULL","NA","SAGE"
"45",NA,"NA","NA",NA,"NA","NA","NA","NA","z_depth","2430487.19724327","NA","NA","NA",NA,"NULL","NULL","NA","SAGE"
